SYMBOL,SERIES,OPEN_PRICE,HIGH_PRICE,LOW_PRICE,CLOSE_PRICE,PREV_CLOSE,TTL_TRD_QNTY,TURNOVER_LACS,NO_OF_TRADES,DELIV_QTY,DELIV_PER,DATE1
63MOONS,EQ,441.65,441.65,441.65,441.65,420.65,32834,145.01,285,32834,100.0,03-Apr-2024
AAVAS,EQ,1420.0,1424.95,1391.0,1395.55,1415.45,425529,5981.45,19734,369277,86.78,03-Apr-2024
BANKETFADD,EQ,47.15,48.06,47.15,47.95,47.84,740022,355.4,148,735634,99.41,03-Apr-2024
BANKNIFTY1,EQ,485.26,487.55,483.01,486.98,485.62,346318,1685.34,385,333622,96.33,03-Apr-2024
CREST,EQ,410.4,411.0,403.55,406.55,406.4,164628,669.85,755,154908,94.1,03-Apr-2024
EBBETF0425,EQ,1199.6,1199.6,1195.02,1196.14,1196.0,14156,169.39,770,13943,98.5,03-Apr-2024
EBBETF0433,EQ,1107.07,1201.01,1107.07,1156.57,1110.06,10732,123.93,112,10581,98.59,03-Apr-2024
EMIL,EQ,209.95,213.0,204.2,208.55,209.1,1200645,2505.66,7657,1055973,87.95,03-Apr-2024
ESILVER,EQ,78.47,79.98,78.0,79.25,78.36,256422,203.17,328,248608,96.95,03-Apr-2024
GOLDETFADD,EQ,68.32,69.2,68.03,68.9,68.32,391073,270.27,180,388252,99.28,03-Apr-2024
GOLDSHARE,EQ,60.0,60.0,58.75,58.9,58.6,4824327,2838.82,1189,4773852,98.95,03-Apr-2024
GTLINFRA,EQ,1.75,1.75,1.7,1.75,1.7,13838352,242.12,3314,13617769,98.41,03-Apr-2024
IPCALAB,EQ,1240.0,1240.0,1215.85,1224.35,1233.55,1653542,20228.47,20435,1406622,85.07,03-Apr-2024
IZMO,EQ,285.0,298.0,280.1,298.0,283.85,63111,185.98,1513,55366,87.73,03-Apr-2024
KERNEX,EQ,579.9,604.45,565.0,604.45,575.7,27096,161.17,601,23330,86.1,03-Apr-2024
LIQUIDCASE,EQ,101.46,101.46,101.44,101.45,101.43,4109934,4169.82,7328,4054749,98.66,03-Apr-2024
LIQUIDSBI,EQ,999.99,1000.01,999.99,1000.01,1000.01,19502,195.02,65,19472,99.85,03-Apr-2024
LOWVOL1,EQ,18.78,19.14,18.52,18.63,18.78,2003997,374.41,642,1963076,97.96,03-Apr-2024
MEDANTA,EQ,1329.05,1349.0,1320.0,1337.95,1331.65,838420,11259.98,18433,796939,95.05,03-Apr-2024
METROBRAND,EQ,1104.75,1123.4,1091.5,1095.6,1102.75,719970,7982.58,11517,645724,89.69,03-Apr-2024
MOREALTY,EQ,97.0,97.0,92.76,92.87,95.31,283145,264.55,3902,259907,91.79,03-Apr-2024
NDL,EQ,35.45,37.25,34.75,37.0,35.5,1003640,369.06,1129,854533,85.14,03-Apr-2024
NIFTY1,EQ,242.52,245.95,241.09,243.1,242.53,886491,2153.8,1572,856710,96.64,03-Apr-2024
NIITMTS,EQ,520.4,525.0,512.7,520.95,520.3,373687,1932.73,5430,326038,87.25,03-Apr-2024
PRIMESECU,EQ,181.8,184.05,178.1,180.5,181.75,220024,397.41,1387,204794,93.08,03-Apr-2024
PSUBANK,EQ,709.45,729.99,705.31,724.9,709.45,252549,1787.03,1441,222927,88.27,03-Apr-2024
QGOLDHALF,EQ,59.19,59.19,58.22,58.58,58.19,468690,274.58,639,437754,93.4,03-Apr-2024
ROLEXRINGS,EQ,1840.65,1870.0,1810.05,1854.15,1824.35,151576,2778.78,5056,135541,89.42,03-Apr-2024
SETFNIF50,EQ,234.79,235.93,234.0,234.92,235.33,759665,1788.74,3117,731526,96.3,03-Apr-2024
SHREECEM,EQ,26601.0,26743.3,26285.1,26354.3,26532.9,150756,39891.2,14690,133688,88.68,03-Apr-2024
SMALLCAP,EQ,44.94,45.36,44.7,45.3,44.72,1057347,476.85,2464,950170,89.86,03-Apr-2024
SURANASOL,EQ,42.0,42.45,41.0,42.45,38.6,590373,249.99,3663,533448,90.36,03-Apr-2024
SWELECTES,EQ,1104.75,1104.75,1104.75,1104.75,1052.15,15986,176.61,345,15985,99.99,03-Apr-2024
TIMKEN,EQ,2930.0,2992.05,2913.9,2982.95,2931.25,133875,3939.2,5432,118489,88.51,03-Apr-2024
VSTTILLERS,EQ,3288.75,3343.95,3267.85,3296.4,3288.75,48550,1595.41,1816,43940,90.5,03-Apr-2024
WESTLIFE,EQ,804.45,821.4,800.1,809.15,803.65,854639,6901.1,7305,800620,93.68,03-Apr-2024
